group,run,tag,x,value
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,61,0.14292360842227936
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,62,0.14320999383926392
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,63,0.1428930163383484
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,64,0.1430310159921646
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,65,0.1432301551103592
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,66,0.14316248893737793
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,67,0.1427716612815857
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,68,0.14318238198757172
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,69,0.142398402094841
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,70,0.14474506676197052
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,71,0.1435087025165558
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,72,0.14228680729866028
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,73,0.14312303066253662
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,74,0.14335864782333374
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,75,0.14302197098731995
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,76,0.14328110218048096
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,77,0.1427600234746933
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,78,0.14317280054092407
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,79,0.14377588033676147
ted_expressive|vae,vae_logs_ted_expressive_beta1e-2,val/loss,80,0.14278754591941833
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,1,0.06935761868953705
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,2,0.05674885958433151
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,3,0.053641658276319504
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,4,0.05095262825489044
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,5,0.049420420080423355
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,6,0.048760395497083664
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,7,0.047531597316265106
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,8,0.047056153416633606
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,9,0.04646305367350578
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,10,0.04598429799079895
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,11,0.045028723776340485
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,12,0.04387214034795761
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,13,0.04302837327122688
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,14,0.04242663085460663
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,15,0.04176739603281021
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,16,0.0412481352686882
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,17,0.04067375883460045
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,18,0.03983869031071663
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,19,0.039275601506233215
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,20,0.038619231432676315
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,21,0.03896239027380943
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,22,0.03838498145341873
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,23,0.03788439929485321
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,24,0.037586476653814316
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,25,0.03605080395936966
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,26,0.03651655092835426
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,27,0.036119889467954636
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,28,0.03568434342741966
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,29,0.03514827787876129
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,30,0.035060811787843704
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,31,0.03508343920111656
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,32,0.03510519489645958
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,33,0.034497376531362534
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,34,0.03431675583124161
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,35,0.03456241264939308
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,36,0.0344049446284771
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,37,0.03421061486005783
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,38,0.034146882593631744
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,39,0.03359584882855415
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,40,0.03407997265458107
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,41,0.03385511413216591
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,42,0.033817414194345474
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,43,0.033327408134937286
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,44,0.033587850630283356
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,45,0.03320171311497688
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,46,0.03271469473838806
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,47,0.032877348363399506
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,48,0.03275005519390106
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,49,0.03264608979225159
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,50,0.033186763525009155
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,51,0.03273900970816612
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,52,0.032395485788583755
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,53,0.032582979649305344
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,54,0.03211766481399536
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,55,0.03237220644950867
