run,tag,x,value
vae_logs_ted_expressive_beta1e-2,train/loss,78,0.14317864179611206
vae_logs_ted_expressive_beta1e-2,train/loss,79,0.14317896068096161
vae_logs_ted_expressive_beta1e-2,train/loss,80,0.14317322969436647
vae_logs_ted_expressive_beta1e-2,val/loss,1,0.16697104275226593
vae_logs_ted_expressive_beta1e-2,val/loss,2,0.16774827241897583
vae_logs_ted_expressive_beta1e-2,val/loss,3,0.16825629770755768
vae_logs_ted_expressive_beta1e-2,val/loss,4,0.16816169023513794
vae_logs_ted_expressive_beta1e-2,val/loss,5,0.168346044421196
vae_logs_ted_expressive_beta1e-2,val/loss,6,0.16831953525543214
vae_logs_ted_expressive_beta1e-2,val/loss,7,0.16473534107208251
vae_logs_ted_expressive_beta1e-2,val/loss,8,0.15993386805057525
vae_logs_ted_expressive_beta1e-2,val/loss,9,0.155253866314888
vae_logs_ted_expressive_beta1e-2,val/loss,10,0.15032958388328552
vae_logs_ted_expressive_beta1e-2,val/loss,11,0.1457357496023178
vae_logs_ted_expressive_beta1e-2,val/loss,12,0.14452464878559113
vae_logs_ted_expressive_beta1e-2,val/loss,13,0.14429628252983093
vae_logs_ted_expressive_beta1e-2,val/loss,14,0.14421963393688203
vae_logs_ted_expressive_beta1e-2,val/loss,15,0.1441085308790207
vae_logs_ted_expressive_beta1e-2,val/loss,16,0.14427469968795775
vae_logs_ted_expressive_beta1e-2,val/loss,17,0.1440846085548401
vae_logs_ted_expressive_beta1e-2,val/loss,18,0.14405975937843324
vae_logs_ted_expressive_beta1e-2,val/loss,19,0.14401828944683076
vae_logs_ted_expressive_beta1e-2,val/loss,20,0.1439108818769455
vae_logs_ted_expressive_beta1e-2,val/loss,21,0.14369683265686034
vae_logs_ted_expressive_beta1e-2,val/loss,22,0.14377208948135375
vae_logs_ted_expressive_beta1e-2,val/loss,23,0.14362625479698182
vae_logs_ted_expressive_beta1e-2,val/loss,24,0.14349265396595
vae_logs_ted_expressive_beta1e-2,val/loss,25,0.14350084364414215
vae_logs_ted_expressive_beta1e-2,val/loss,26,0.14338828325271608
vae_logs_ted_expressive_beta1e-2,val/loss,27,0.14333170354366304
vae_logs_ted_expressive_beta1e-2,val/loss,28,0.14339994490146638
vae_logs_ted_expressive_beta1e-2,val/loss,29,0.14347353279590608
vae_logs_ted_expressive_beta1e-2,val/loss,30,0.1435052126646042
vae_logs_ted_expressive_beta1e-2,val/loss,31,0.14362049996852874
vae_logs_ted_expressive_beta1e-2,val/loss,32,0.14349959790706635
vae_logs_ted_expressive_beta1e-2,val/loss,33,0.14343327283859253
vae_logs_ted_expressive_beta1e-2,val/loss,34,0.14337544441223143
vae_logs_ted_expressive_beta1e-2,val/loss,35,0.1432664006948471
vae_logs_ted_expressive_beta1e-2,val/loss,36,0.14347439706325532
vae_logs_ted_expressive_beta1e-2,val/loss,37,0.14337715208530427
vae_logs_ted_expressive_beta1e-2,val/loss,38,0.14324062168598176
vae_logs_ted_expressive_beta1e-2,val/loss,39,0.14320193231105804
vae_logs_ted_expressive_beta1e-2,val/loss,40,0.14332418143749237
vae_logs_ted_expressive_beta1e-2,val/loss,41,0.14312964379787446
vae_logs_ted_expressive_beta1e-2,val/loss,42,0.1435914546251297
vae_logs_ted_expressive_beta1e-2,val/loss,43,0.14384880661964417
vae_logs_ted_expressive_beta1e-2,val/loss,44,0.14375593662261962
vae_logs_ted_expressive_beta1e-2,val/loss,45,0.14370130002498627
vae_logs_ted_expressive_beta1e-2,val/loss,46,0.14375087022781372
vae_logs_ted_expressive_beta1e-2,val/loss,47,0.1433481454849243
vae_logs_ted_expressive_beta1e-2,val/loss,48,0.143086776137352
vae_logs_ted_expressive_beta1e-2,val/loss,49,0.14335497319698334
vae_logs_ted_expressive_beta1e-2,val/loss,50,0.14322242736816407
vae_logs_ted_expressive_beta1e-2,val/loss,51,0.14317353069782257
vae_logs_ted_expressive_beta1e-2,val/loss,52,0.14334284663200378
vae_logs_ted_expressive_beta1e-2,val/loss,53,0.14346089363098144
vae_logs_ted_expressive_beta1e-2,val/loss,54,0.143160879611969
vae_logs_ted_expressive_beta1e-2,val/loss,55,0.14317401349544526
vae_logs_ted_expressive_beta1e-2,val/loss,56,0.14298849403858185
